"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_ZN2at6native17kernelHistogram1DIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_EEvNS_4cuda6detail10TensorInfoIS9_T1_EESK_NSI_IT0_SJ_EEiSL_SL_SJ_T6_",1,"issue_slot_utilization","Issue Slot Utilization",14.754230%,14.754230%,14.754230%
"GeForce GTX 1080 Ti (0)","_ZN2at6native17kernelHistogram1DIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_EEvNS_4cuda6detail10TensorInfoIS9_T1_EESK_NSI_IT0_SJ_EEiSL_SL_SJ_T6_",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.711956,0.711956,0.711956
"GeForce GTX 1080 Ti (0)","_ZN2at6native17kernelHistogram1DIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_EEvNS_4cuda6detail10TensorInfoIS9_T1_EESK_NSI_IT0_SJ_EEiSL_SL_SJ_T6_",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",4.818926%,4.818926%,4.818926%
"GeForce GTX 1080 Ti (0)","_ZN2at6native17kernelHistogram1DIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_EEvNS_4cuda6detail10TensorInfoIS9_T1_EESK_NSI_IT0_SJ_EEiSL_SL_SJ_T6_",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",42.538679%,42.538679%,42.538679%
"GeForce GTX 1080 Ti (0)","_ZN2at6native17kernelHistogram1DIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_EEvNS_4cuda6detail10TensorInfoIS9_T1_EESK_NSI_IT0_SJ_EEiSL_SL_SJ_T6_",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.401258%,1.401258%,1.401258%
"GeForce GTX 1080 Ti (0)","_ZN2at6native17kernelHistogram1DIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_EEvNS_4cuda6detail10TensorInfoIS9_T1_EESK_NSI_IT0_SJ_EEiSL_SL_SJ_T6_",1,"achieved_occupancy","Achieved Occupancy",0.989700,0.989700,0.989700
"GeForce GTX 1080 Ti (0)","_ZN2at6native41kernelHistogram1D_MaxPoolForward_bar_syncIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"issue_slot_utilization","Issue Slot Utilization",15.301531%,15.301531%,15.301531%
"GeForce GTX 1080 Ti (0)","_ZN2at6native41kernelHistogram1D_MaxPoolForward_bar_syncIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.790513,0.790513,0.790513
"GeForce GTX 1080 Ti (0)","_ZN2at6native41kernelHistogram1D_MaxPoolForward_bar_syncIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",8.263682%,8.263682%,8.263682%
"GeForce GTX 1080 Ti (0)","_ZN2at6native41kernelHistogram1D_MaxPoolForward_bar_syncIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",31.967174%,31.967174%,31.967174%
"GeForce GTX 1080 Ti (0)","_ZN2at6native41kernelHistogram1D_MaxPoolForward_bar_syncIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",28.341518%,28.341518%,28.341518%
"GeForce GTX 1080 Ti (0)","_ZN2at6native41kernelHistogram1D_MaxPoolForward_bar_syncIfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"achieved_occupancy","Achieved Occupancy",0.351347,0.351347,0.351347
"GeForce GTX 1080 Ti (0)","_ZN2at6native51kernelHistogram1D_upsample_bilinear2d_out_frame_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"issue_slot_utilization","Issue Slot Utilization",31.397332%,31.397332%,31.397332%
"GeForce GTX 1080 Ti (0)","_ZN2at6native51kernelHistogram1D_upsample_bilinear2d_out_frame_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",2.786573,2.786573,2.786573
"GeForce GTX 1080 Ti (0)","_ZN2at6native51kernelHistogram1D_upsample_bilinear2d_out_frame_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",4.860664%,4.860664%,4.860664%
"GeForce GTX 1080 Ti (0)","_ZN2at6native51kernelHistogram1D_upsample_bilinear2d_out_frame_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",33.170234%,33.170234%,33.170234%
"GeForce GTX 1080 Ti (0)","_ZN2at6native51kernelHistogram1D_upsample_bilinear2d_out_frame_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",30.838272%,30.838272%,30.838272%
"GeForce GTX 1080 Ti (0)","_ZN2at6native51kernelHistogram1D_upsample_bilinear2d_out_frame_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"achieved_occupancy","Achieved Occupancy",0.491449,0.491449,0.491449
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*)",1,"issue_slot_utilization","Issue Slot Utilization",41.139764%,41.139764%,41.139764%
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",3.680453,3.680453,3.680453
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",9.250528%,9.250528%,9.250528%
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",19.926135%,19.926135%,19.926135%
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",52.730378%,52.730378%,52.730378%
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_bar_sync<float, at::native::InvStd, float, float, float, int>*)",1,"achieved_occupancy","Achieved Occupancy",0.370784,0.370784,0.370784
"GeForce GTX 1080 Ti (0)","void at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_bar_sync<float, float, at::native::InvStd, float, float, float, int>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_bar_sync<float, float, at::native::InvStd, float, float, float, int>*, long*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, long*, float, long*, long*)",1,"issue_slot_utilization","Issue Slot Utilization",27.412677%,27.412677%,27.412677%
"GeForce GTX 1080 Ti (0)","void at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_bar_sync<float, float, at::native::InvStd, float, float, float, int>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_bar_sync<float, float, at::native::InvStd, float, float, float, int>*, long*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, long*, float, long*, long*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.611047,1.611047,1.611047
