"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",67.619862%,67.619862%,67.619862%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",5.292359,5.292359,5.292359
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",36.471635%,36.471635%,36.471635%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",9.540020%,9.540020%,9.540020%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",26.325221%,26.325221%,26.325221%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.308069,0.308069,0.308069
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"issue_slot_utilization","Issue Slot Utilization",9.909375%,10.070174%,9.983588%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.481513,0.488574,0.484687
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.601946%,0.613056%,0.608048%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",10.067914%,10.321559%,10.210778%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"stall_memory_dependency","Issue Stall Reasons (Data Request)",85.619184%,85.910986%,85.730981%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"achieved_occupancy","Achieved Occupancy",0.309063,0.309355,0.309206
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",90.461311%,90.461311%,90.461311%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",9.878532,9.878532,9.878532
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",23.553326%,23.553326%,23.553326%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",22.910164%,22.910164%,22.910164%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.311155%,1.311155%,1.311155%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.489870,0.489870,0.489870
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",85.231446%,85.231446%,85.231446%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",8.726348,8.726348,8.726348
