"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2291592764,2291592764,2291592764,2291592764
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"elapsed_cycles_pm",15805986777,16144224485,15976401227,255622419637
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"elapsed_cycles_pm",2981998564,2981998564,2981998564,2981998564
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",1515895895,1515895895,1515895895,1515895895
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",1512910186,1512910186,1512910186,1512910186
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",3193390428,3193390428,3193390428,3193390428
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"elapsed_cycles_pm",2964509497,2964509497,2964509497,2964509497
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"elapsed_cycles_pm",1355764717,1355764717,1355764717,1355764717
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",2195269985,2195269985,2195269985,2195269985
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2193935839,2193935839,2193935839,2193935839
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",1526878727,1526878727,1526878727,1526878727
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2784660749,2784660749,2784660749,2784660749
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2195799955,2195799955,2195799955,2195799955
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"elapsed_cycles_pm",1355365904,1355365904,1355365904,1355365904
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2271995705,2271995705,2271995705,2271995705
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",2974179997,2974179997,2974179997,2974179997
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",1516357559,1516357559,1516357559,1516357559
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",2994842161,2994842161,2994842161,2994842161
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",1512663723,1512663723,1512663723,1512663723
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_100(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",2131423536,2131423536,2131423536,2131423536
"GeForce GTX 1080 Ti (0)","blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",1524558679,1524558679,1524558679,1524558679
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_0(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2758065307,2758065307,2758065307,2758065307
"GeForce GTX 1080 Ti (0)","ethash_search4(Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2172369670,2172369670,2172369670,2172369670
"GeForce GTX 1080 Ti (0)","ethash_search2(Search_results volatile *, unsigned long)",1,"elapsed_cycles_pm",2170786059,2170786059,2170786059,2170786059
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"elapsed_cycles_pm",1356458097,1356458097,1356458097,1356458097
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"elapsed_cycles_pm",3197439831,3197439831,3197439831,3197439831
