"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",71.002504%,71.002504%,71.002504%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",6.559948,6.559948,6.559948
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",42.926247%,42.926247%,42.926247%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.831349%,7.831349%,7.831349%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",17.426816%,17.426816%,17.426816%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_0(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.399221,0.399221,0.399221
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"issue_slot_utilization","Issue Slot Utilization",5.210881%,5.321820%,5.264552%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.241636,0.247142,0.244215
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.415606%,0.431299%,0.421011%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",20.933214%,23.315211%,22.991819%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"stall_memory_dependency","Issue Stall Reasons (Data Request)",57.425625%,59.309453%,57.772055%
"GeForce GTX 1080 Ti (0)","ethash_calculate_dag_item(unsigned int)",16,"achieved_occupancy","Achieved Occupancy",0.471366,0.473289,0.472499
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",75.441419%,75.441419%,75.441419%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",7.198323,7.198323,7.198323
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",53.124578%,53.124578%,53.124578%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.300672%,7.300672%,7.300672%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.516441%,1.516441%,1.516441%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.431431,0.431431,0.431431
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",89.954570%,89.954570%,89.954570%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",11.236756,11.236756,11.236756
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",32.354687%,32.354687%,32.354687%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",9.722798%,9.722798%,9.722798%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.241395%,1.241395%,1.241395%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.484893,0.484893,0.484893
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",90.629065%,90.629065%,90.629065%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",10.281239,10.281239,10.281239
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",25.249298%,25.249298%,25.249298%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",19.895940%,19.895940%,19.895940%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.476034%,1.476034%,1.476034%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.488934,0.488934,0.488934
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",85.290480%,85.290480%,85.290480%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",8.782135,8.782135,8.782135
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",46.388317%,46.388317%,46.388317%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",12.809862%,12.809862%,12.809862%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.242722%,1.242722%,1.242722%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.491162,0.491162,0.491162
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",76.024891%,76.024891%,76.024891%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",7.779846,7.779846,7.779846
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",50.952885%,50.952885%,50.952885%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.275191%,6.275191%,6.275191%
