"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass2<float, ReduceMax<float>>(int, float, float, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",12.097628%,12.097628%,12.097628%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass2<float, ReduceMax<float>>(int, float, float, float*, float*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.678950,0.678950,0.678950
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass2<float, ReduceMax<float>>(int, float, float, float*, float*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",5.757185%,5.757185%,5.757185%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass2<float, ReduceMax<float>>(int, float, float, float*, float*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",11.103905%,11.103905%,11.103905%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass2<float, ReduceMax<float>>(int, float, float, float*, float*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",10.627693%,10.627693%,10.627693%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass2<float, ReduceMax<float>>(int, float, float, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.380857,0.380857,0.380857
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMin<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"issue_slot_utilization","Issue Slot Utilization",16.174431%,16.174431%,16.174431%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMin<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.952458,0.952458,0.952458
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMin<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.081228%,2.081228%,2.081228%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMin<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",5.309540%,5.309540%,5.309540%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMin<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",83.726480%,83.726480%,83.726480%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMin<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"achieved_occupancy","Achieved Occupancy",0.988003,0.988003,0.988003
"GeForce GTX 1080 Ti (0)","_ZN84_GLOBAL__N__60_tmpxft_00008cbb_00000000_11_Distributions_compute_75_cpp1_ii_c3aa7ee643distribution_elementwise_grid_stride_kernelIfLi4EZZZN2at6native18normal_kernel_cudaERNS1_14TensorIteratorEddPNS1_9GeneratorEENKUlvE_clEvENKUlvE0_clEvEUlP24curandStatePhilox4_32_10E0_ZNS_27distribution_nullary_kernelIffLi4ESB_ZZZNS2_18normal_kernel_cudaES4_ddS6_ENKS7_clEvENKS8_clEvEUlfE_EEvS4_PNS1_13CUDAGeneratorERKT2_T3_EUlifE_EEviSt4pairImmET1_SG_",2,"issue_slot_utilization","Issue Slot Utilization",86.309905%,92.447805%,89.378855%
